kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length3;100000;6;16;32;2.20106;1.79146;1543109
run-length3;100000;6;32;32;1.10762;3.56;1543109
run-length3;100000;6;64;32;0.5632;7.00126;1543109
run-length3;100000;6;128;32;0.303104;13.0091;1543109
run-length3;100000;6;256;32;0.159744;24.6839;1543109
run-length3;100000;6;512;32;0.09504;41.4889;1543109
run-length3;100000;6;8;64;2.0951;1.88206;1543109
run-length3;100000;6;16;64;1.04858;3.76044;1543109
run-length3;100000;6;32;64;0.536288;7.3526;1543109
run-length3;100000;6;64;64;0.28672;13.7525;1543109
run-length3;100000;6;128;64;0.156384;25.2143;1543109
run-length3;100000;6;256;64;0.096064;41.0467;1543109
run-length3;100000;6;512;64;0.061888;63.7136;1543109
run-length3;100000;6;8;128;1.09398;3.60436;1543109
run-length3;100000;6;16;128;0.5544;7.11239;1543109
run-length3;100000;6;32;128;0.290048;13.5947;1543109
run-length3;100000;6;64;128;0.154816;25.4696;1543109
run-length3;100000;6;128;128;0.094752;41.615;1543109
run-length3;100000;6;256;128;0.062016;63.5821;1543109
run-length3;100000;6;512;128;0.04096;96.2673;1543109
run-length3;100000;6;8;256;0.591488;6.66642;1543109
run-length3;100000;6;16;256;0.304288;12.9585;1543109
run-length3;100000;6;32;256;0.16288;24.2087;1543109
run-length3;100000;6;64;256;0.095104;41.461;1543109
run-length3;100000;6;128;256;0.06144;64.1782;1543109
run-length3;100000;6;256;256;0.042944;91.8198;1543109
run-length3;100000;6;512;256;0.04064;97.0253;1543109
run-length3;100000;6;8;512;0.344544;11.4444;1543109
run-length3;100000;6;16;512;0.183712;21.4635;1543109
run-length3;100000;6;32;512;0.102848;38.3392;1543109
run-length3;100000;6;64;512;0.064128;61.4881;1543109
run-length3;100000;6;128;512;0.043072;91.5469;1543109
run-length3;100000;6;256;512;0.04064;97.0253;1543109
run-length3;100000;6;512;512;0.039776;99.1329;1543109
run-length3;100000;6;8;1024;0.255904;15.4085;1543109
run-length3;100000;6;16;1024;0.135072;29.1926;1543109
run-length3;100000;6;32;1024;0.081344;48.4745;1543109
run-length3;100000;6;64;1024;0.046208;85.3339;1543109
run-length3;100000;6;128;1024;0.045664;86.3505;1543109
run-length3;100000;6;256;1024;0.04672;84.3987;1543109
run-length3;100000;6;512;1024;0.045728;86.2296;1543109
run-length3;100000;7;8;16;9.55232;0.392197;1346390
run-length3;100000;7;16;16;3.71533;1.00836;1346390
run-length3;100000;7;32;16;1.87981;1.99296;1346390
run-length3;100000;7;64;16;0.955712;3.92;1346390
run-length3;100000;7;128;16;0.503232;7.44466;1346390
run-length3;100000;7;256;16;0.266208;14.0732;1346390
run-length3;100000;7;512;16;0.159936;23.4243;1346390
run-length3;100000;7;8;32;4.36637;0.858011;1346390
run-length3;100000;7;16;32;2.18851;1.71184;1346390
run-length3;100000;7;32;32;1.11821;3.35035;1346390
run-length3;100000;7;64;32;0.561152;6.67625;1346390
run-length3;100000;7;128;32;0.298976;12.5307;1346390
run-length3;100000;7;256;32;0.162432;23.0644;1346390
