kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length;10000;9;128;32;0.044896;8.14066;125483
run-length;10000;9;256;32;0.03104;11.7746;125483
run-length;10000;9;512;32;0.020736;17.6255;125483
run-length;10000;9;8;64;0.259136;1.41039;125483
run-length;10000;9;16;64;0.133888;2.72977;125483
run-length;10000;9;32;64;0.070528;5.1821;125483
run-length;10000;9;64;64;0.043488;8.40423;125483
run-length;10000;9;128;64;0.03072;11.8972;125483
run-length;10000;9;256;64;0.019488;18.7543;125483
run-length;10000;9;512;64;0.019296;18.9409;125483
run-length;10000;9;8;128;0.136768;2.67228;125483
run-length;10000;9;16;128;0.073376;4.98096;125483
run-length;10000;9;32;128;0.043904;8.3246;125483
run-length;10000;9;64;128;0.031168;11.7262;125483
run-length;10000;9;128;128;0.02048;17.8458;125483
run-length;10000;9;256;128;0.02048;17.8458;125483
run-length;10000;9;512;128;0.021536;16.9708;125483
run-length;10000;9;8;256;0.07856;4.65228;125483
run-length;10000;9;16;256;0.047104;7.75906;125483
run-length;10000;9;32;256;0.032768;11.1537;125483
run-length;10000;9;64;256;0.020288;18.0147;125483
run-length;10000;9;128;256;0.02048;17.8458;125483
run-length;10000;9;256;256;0.022528;16.2235;125483
run-length;10000;9;512;256;0.022528;16.2235;125483
run-length;10000;9;8;512;0.053216;6.86792;125483
run-length;10000;9;16;512;0.035584;10.271;125483
run-length;10000;9;32;512;0.022528;16.2235;125483
run-length;10000;9;64;512;0.022368;16.3395;125483
run-length;10000;9;128;512;0.022464;16.2697;125483
run-length;10000;9;256;512;0.029056;12.5786;125483
run-length;10000;9;512;512;0.029824;12.2547;125483
run-length;10000;9;8;1024;0.047264;7.7328;125483
run-length;10000;9;16;1024;0.028288;12.9201;125483
run-length;10000;9;32;1024;0.028448;12.8474;125483
run-length;10000;9;64;1024;0.028672;12.747;125483
run-length;10000;9;128;1024;0.028544;12.8042;125483
run-length;10000;9;256;1024;0.028416;12.8619;125483
run-length;10000;9;512;1024;0.028672;12.747;125483
run-length;10000;10;8;16;0.8616;0.430443;130870
run-length;10000;10;16;16;0.438432;0.845901;130870
run-length;10000;10;32;16;0.234624;1.5807;130870
run-length;10000;10;64;16;0.124672;2.97477;130870
run-length;10000;10;128;16;0.068128;5.44372;130870
run-length;10000;10;256;16;0.04096;9.05444;130870
run-length;10000;10;512;16;0.030912;11.9976;130870
run-length;10000;10;8;32;0.516096;0.718607;130870
run-length;10000;10;16;32;0.2736;1.35552;130870
run-length;10000;10;32;32;0.141888;2.61382;130870
